gene_id	kegg_pathway_id	kegg_pathway_name
OsMH63_01G006280	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G006380	osa00380	Tryptophan metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006380	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G006380	osa04075	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice)
OsMH63_01G006420	osa00052	Galactose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006420	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G006540	osa04075	Plant hormone signal transduction - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa00010	Glycolysis / Gluconeogenesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa00051	Fructose and mannose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa00052	Galactose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa00500	Starch and sucrose metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa00520	Amino sugar and nucleotide sugar metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa01100	Metabolic pathways - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa01110	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa01200	Carbon metabolism - Oryza sativa japonica (Japanese rice)
OsMH63_01G006550	osa01250	Biosynthesis of nucleotide sugars - Oryza sativa japonica (Japanese rice)
OsMH63_01G006590	osa03010	Ribosome - Oryza sativa japonica (Japanese rice)
OsMH63_01G006610	osa00510	N-Glycan biosynthesis - Oryza sativa japonica (Japanese rice)
OsMH63_01G006610	osa00513	Various types of N-glycan biosynthesis - Oryza sativa japonica (Japanese rice)
